"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","6135","Gelir Girilmeden Gider Girildiğinde","","Sun Jan 12 03:37:53 EET 2025","passed","Sun Jan 12 03:37:59 EET 2025","","Aylık Bütçe Hesaplama","Gelir Girilmeden Gider Girildiğinde",""
"","6218","Pozitif Yatırım Hesaplaması","","Sun Jan 12 03:38:54 EET 2025","failed","Sun Jan 12 03:39:00 EET 2025","","Yatırım Hesaplama","Pozitif Yatırım Hesaplaması",""
"","6425","Gelir ve Gider Eşit Olduğunda","","Sun Jan 12 03:37:47 EET 2025","failed","Sun Jan 12 03:37:53 EET 2025","","Aylık Bütçe Hesaplama","Gelir ve Gider Eşit Olduğunda",""
"","7575","Pozitif Gelir ve Gider Girişi","","Sun Jan 12 03:37:39 EET 2025","failed","Sun Jan 12 03:37:47 EET 2025","","Aylık Bütçe Hesaplama","Pozitif Gelir ve Gider Girişi",""
"","6382","Negatif Gider Girildiğinde","","Sun Jan 12 03:37:59 EET 2025","failed","Sun Jan 12 03:38:05 EET 2025","","Aylık Bütçe Hesaplama","Negatif Gider Girildiğinde",""
"","9012","Pozitif Yatırım Hesaplaması","","Sun Jan 12 03:38:18 EET 2025","failed","Sun Jan 12 03:38:27 EET 2025","","Kısa Vadeli Yatırım Hesaplama","Pozitif Yatırım Hesaplaması",""
"","9131","Negatif Yatırım Tutarı Girildiğinde","","Sun Jan 12 03:38:27 EET 2025","failed","Sun Jan 12 03:38:36 EET 2025","","Kısa Vadeli Yatırım Hesaplama","Negatif Yatırım Tutarı Girildiğinde",""
"","8806","Sıfır Faiz ile Yatırım Hesaplaması","","Sun Jan 12 03:38:36 EET 2025","failed","Sun Jan 12 03:38:45 EET 2025","","Kısa Vadeli Yatırım Hesaplama","Sıfır Faiz ile Yatırım Hesaplaması",""
"","6316","Negatif Yatırım Tutarı Girme","","Sun Jan 12 03:39:06 EET 2025","failed","Sun Jan 12 03:39:13 EET 2025","","Yatırım Hesaplama","Negatif Yatırım Tutarı Girme",""
"","6146","Negatif Gider Kalemi İle Toplam","","Sun Jan 12 03:38:12 EET 2025","passed","Sun Jan 12 03:38:18 EET 2025","","Günlük Gider Takibi","Negatif Gider Kalemi İle Toplam",""
"","9145","Negatif Süre Girildiğinde","","Sun Jan 12 03:38:45 EET 2025","failed","Sun Jan 12 03:38:54 EET 2025","","Kısa Vadeli Yatırım Hesaplama","Negatif Süre Girildiğinde",""
"","6212","Sıfır Faiz Oranı ile Yatırım","","Sun Jan 12 03:39:00 EET 2025","failed","Sun Jan 12 03:39:06 EET 2025","","Yatırım Hesaplama","Sıfır Faiz Oranı ile Yatırım",""
"","6219","Tüm Gider Kalemlerinin Toplamı","","Sun Jan 12 03:38:06 EET 2025","failed","Sun Jan 12 03:38:12 EET 2025","","Günlük Gider Takibi","Tüm Gider Kalemlerinin Toplamı",""
